date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2000:40:35%20GMT	http://www.xiaoyaojingjv.cn/robots.txt		(from )
08:40:37	46386/46386	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2000:40:36%20GMT	http://www.xiaoyaojingjv.cn/	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/index.html	(from )
08:40:41	358106/358106	---MCZ	200	added ('OK')	text/css	etag:W/%22674726f2-576da%22	http://www.xiaoyaojingjv.cn/wp-content/themes/argon/assets/argon_css_merged.css?ver=1.3.5	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/themes/argon/assets/argon_css_mergede34c.css	(from http://www.xiaoyaojingjv.cn/)
08:40:41	113381/113381	---MCZ	200	added ('OK')	text/css	etag:W/%2265ddf637-1bae5%22	http://www.xiaoyaojingjv.cn/wp-includes/css/dist/block-library/style.min.css?ver=6.5.2	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-includes/css/dist/block-library/style.mine63c.css	(from http://www.xiaoyaojingjv.cn/)
08:40:41	148652/148652	---MCZ	200	added ('OK')	text/css	etag:W/%22674a7dfd-244ac%22	http://www.xiaoyaojingjv.cn/wp-content/themes/argon/style.css?ver=1.3.5	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/themes/argon/stylee34c.css	(from http://www.xiaoyaojingjv.cn/)
08:40:41	3241/3241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22674726f2-ca9%22	http://www.xiaoyaojingjv.cn/wp-content/themes/argon/assets/js/argon.min.js?ver=1.3.5	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/themes/argon/assets/js/argon.mine34c.js	(from http://www.xiaoyaojingjv.cn/)
08:40:42	842/842	---MC-	200	added ('OK')	text/xml	date:Fri,%2021%20Feb%202025%2000:40:41%20GMT	http://www.xiaoyaojingjv.cn/xmlrpc.php?rsd	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/xmlrpc0db0.php	(from http://www.xiaoyaojingjv.cn/)
08:40:42	1150/1150	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226749dc1b-47e%22	http://www.xiaoyaojingjv.cn/wp-content/uploads/2024/11/cropped-cropped-%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199-32x32.jpg	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/uploads/2024/11/cropped-cropped-%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199-32x32.jpg	(from http://www.xiaoyaojingjv.cn/)
08:40:44	7710/7710	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226749dc1b-1e1e%22	http://www.xiaoyaojingjv.cn/wp-content/uploads/2024/11/cropped-cropped-%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199-192x192.jpg	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/uploads/2024/11/cropped-cropped-%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199-192x192.jpg	(from http://www.xiaoyaojingjv.cn/)
08:40:44	7278/7278	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226749dc1b-1c6e%22	http://www.xiaoyaojingjv.cn/wp-content/uploads/2024/11/cropped-cropped-%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199-180x180.jpg	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/uploads/2024/11/cropped-cropped-%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199-180x180.jpg	(from http://www.xiaoyaojingjv.cn/)
08:40:44	218461/218461	---MCZ	200	added ('OK')	application/json	date:Fri,%2021%20Feb%202025%2000:40:41%20GMT	http://www.xiaoyaojingjv.cn/index.php?rest_route=/	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/index52f0.json	(from http://www.xiaoyaojingjv.cn/)
08:40:45	24103/24103	---MCZ	200	added ('OK')	application/javascript	etag:W/%22674726f3-5e27%22	http://www.xiaoyaojingjv.cn/wp-content/themes/argon/assets/vendor/smoothscroll/smoothscroll1_pulse.js	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/themes/argon/assets/vendor/smoothscroll/smoothscroll1_pulse.js	(from http://www.xiaoyaojingjv.cn/)
08:40:55	62011/62011	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22674710fb-f23b%22	http://49.234.176.211/wp-content/uploads/2024/11/%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199.jpg	E:/HTTrack/baocun/myboke/49.234.176.211/wp-content/uploads/2024/11/%e5%be%ae%e4%bf%a1%e5%9b%be%e7%89%87_20241127202802-e1732710528199.jpg	(from http://www.xiaoyaojingjv.cn/)
08:40:57	48346/48346	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2000:40:55%20GMT	http://www.xiaoyaojingjv.cn/?page_id=64	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/index8091.html	(from http://www.xiaoyaojingjv.cn/)
08:41:01	89769/89769	---MCZ	200	added ('OK')	application/javascript	etag:W/%22674726f2-15ea9%22	http://www.xiaoyaojingjv.cn/wp-content/themes/argon/argontheme.js?v1.3.5	E:/HTTrack/baocun/myboke/www.xiaoyaojingjv.cn/wp-content/themes/argon/argontheme99e9.js	(from http://www.xiaoyaojingjv.cn/)
